id,name,callsign,iso_country
1,East Horizon,EAST HORIZON,AF
2,Pamir Airways,PAMIR,AF
3,Marcopolo Airways,MARCOPOLO,AF
4,Khyber Afghan Airlines,KHYBER,AF
5,Ariana Afghan Airlines,ARIANA,AF
6,Safi Airlines,,AF
7,Kam Air,KAMGAR,AF
8,Balkh Airlines,SHARIF,AF
9,Albatros Airways,ALBANWAYS,AL
10,Albanian Airlines,ALBANIAN,AL
11,Belle Air,ALBAN-BELLE,AL
12,Ada Air,ADA AIR,AL
13,Air Algerie,AIR ALGERIE,DZ
14,Khalifa Airways,KHALIFA AIR,DZ
15,Sahara Airlines,,DZ
16,Antinea Airlines,ANTINEA,DZ
17,Ecoair,,DZ
18,Tassili Airlines,TASSILI AIR,DZ
19,Baikotovitchestrian Airlines ,,AS
20,Super Luza,LUZA,AO
21,Air Cassai,AIR CASSAI,AO
22,Savanair (Angola),SAVANAIR,AO
23,Angoavia,ANGOAVIA,AO
24,ACA-Ancargo Air Sociedade de Transporte de Carga Lda,ANCARGO AIR,AO
25,Trans Air Welwitchia,WELWITCHIA,AO
26,TAAG Angola Airlines,DTA,AO
27,Air Cruzal,AIR CRUZAL,AO
28,Organizacoes Mambra,MAMBRA,AO
29,Air 26,DUCARD,AO
30,Aeropublicitaria De Angola,PUBLICITARIA,AO
31,Etram Air Wing,ETRAM,AO
32,Sonair Servico Aereo,SONAIR,AO
33,Nas Air,AIR BANE,AO
34,Aeronautica,GIRA GLOBO,AO
35,Transteco,TRANSTECO,AO
36,Air Metack,AIRMETACK,AO
37,VH-Air Industrie,AIR V-H,AO
38,EFAOS- Agencia De Viagens e Turismo,EFAOS,AO
39,Air Kissari,KISSARI,AO
40,Avita-Servicos Aereos,AIR AVITA,AO
41,Socofer,SOCOFER,AO
42,Alada,AIR ALADA,AO
43,Angola Air Charter,ANGOLA CHARTER,AO
44,Air-Angol,AIR ANGOL,AO
45,Aviacao Transportes Aereos e Cargas,ATACARGO,AO
46,Airjet Exploracao Aerea De Carga,MABECO,AO
47,Nacoia Lda,AIR NACOIA,AO
48,AF-Air International,FANBIRD,AO
49,Voar Lda,VOAR LINHAS,AO
50,Ecomex Air Cargo,AIR ECOMEX,AO
51,Angola Air Charter,ANGOLA CHARTER,AO
52,Angoservice,ANGOSERVICE,AO
53,Pinframat,PINFRAMAT,AO
54,Air Gemini,TWINS,AO
55,Aero Tropical,AERO TROPICAL,AO
56,Planar,PLANAR,AO
57,Caribbean Star Airlines,CARIB STAR,AG
58,Four Island Air,ISLANDAIR,AG
59,Carib Aviation,RED TAIL,AG
60,Leeward Islands Air Transport,LIAT,AG
61,Norte Lineas Aereas,,AR
62,Aerolineas Argentinas,ARGENTINA,AR
63,INAVIA Internacional,,AR
64,Patria Cargas Aereas,PATRIA,AR
65,Andes Lineas Aereas,AEROANDES,AR
66,LAN Argentina,LAN AR,AR
67,CATA L,CATA,AR
68,All Argentina,,AR
69,L,LAPA,AR
70,Aero VIP,AVIP,AR
71,Southern Winds Airlines,SOUTHERN WINDS,AR
72,Global Airlines,,AR
73,LADE - Lineas Aereas Del Estado,LADE,AR
74,Austral Lineas Aereas,AUSTRAL,AR
75,SUR Lineas Aereas,,AR
76,Air Plus Argentina,AIR FLIGHT,AR
77,Hawk Air,AIR HAW,AR
78,Sol Lineas Aereas,FLIGHT SOL,AR
79,Dinar,AERO DINAR,AR
80,American Falcon,AMERICAN FALCON,AR
81,Skyways,LINEAS CARDINAL,AR
82,TAPSA Transportes Aereos Petroleros,TAPSA,AR
83,Argentine Air Force,FUAER,AR
84,Servicios de Transportes A,FUEGUINO,AR
85,TAN,,AR
86,VIA Líneas Aéreas,,AR
87,All America AR,,AR
88,Lineas Aereas Federales,FEDERALES,AR
89,All Argentina Express,,AR
90,Miapet-Avia,MIAPET,AM
91,Navigator Airlines,NAVLINES,AM
92,Air Armenia,AIR ARMENIA,AM
93,V-Berd-Avia,VEEBIRD-AVIA,AM
94,Armavia,ARMAVIA,AM
95,Phoenix Avia,PHOENIX ARMENIA,AM
96,Urartu-Air,,AM
97,Yerevan-Avia,YEREVAN-AVIA,AM
98,Armenian Airlines,ARMENIAN,AM
99,Armenian International Airways,,AM
100,Z-Avia,ZEDAVIA,AM
101,Arm-Aero,ARM-AERO,AM
102,Atlantis European Airways,,AM
103,Aircompany Veteran,AIR-VET,AM
104,South-Airlines,,AM
105,Blue Airways,BLUE ARMENIA,AM
106,Aykavia Aircompany,,AM
107,Arubaexel,ARUBA,AW
108,Tiara Air,TIARA,AW
109,Aruba Airlines,,AW
110,Ilpo Aruba Cargo,,AW
111,Royal Aruban Airline,ROYAL ARUBAN,AW
112,Avia Air N.V.,AVIAIR,AW
113,O'Connor Airlines,OCONNOR,AU
114,Eastern Australia Airlines,,AU
115,Australian Wetleasing,AUSSIEWORLD,AU
116,Jet Fighter Flights,RAZOR,AU
117,Jetcraft Aviation,JETCRAFT,AU
118,Jetstar Airways,JETSTAR,AU
119,Australian Customs Service,COASTWATCH,AU
120,Asian Express Airlines,FREIGHTEXPRESS,AU
121,Jayrow,,AU
122,Llloyd Helicopters,,AU
123,Nordstree (Australia),,AU
124,Wilderness Air,,AU
125,Whitaker Air,,AU
126,Australian air Express,AUS-CARGO,AU
127,Alfa Aerospace,ALFA-SPACE,AU
128,Air Swift Aviation,,AU
129,Transaustralian Air Express,AUSCARGO,AU
130,Australian Airlines,AUSTRALIAN,AU
131,Australia Asia Airlines,AUSTASIA,AU
132,Pacific Rim Airways,PACRIM,AU
133,Aus-Air,,AU
134,Oxley Aviation,,AU
135,Southern Cross Distribution,,AU
136,Operational Aviation Services,,AU
137,Pacific Aviation (Australia),PACAV,AU
138,Ozjet Airlines,AUSJET,AU
139,Kendell Airlines,KENDELL,AU
140,Sabre Pacific,,AU
141,GFW Aviation,,AU
142,Tiger Airways Australia,GO CAT,AU
143,Tic Air,TICAIR,AU
144,Country Connection Airlines,,AU
145,Airlines Of Tasmania,AIRTAS,AU
146,Alliance Airlines,UNITY,AU
147,Transpac Express,TRANS EXPRESS,AU
148,Opal Air,,AU
149,Aero-Tropics Air Services,,AU
150,Jetgo Australia,,AU
151,Commodore Aviation,,AU
152,Orchid Airlines,,AU
153,Flight West Airlines,,AU
154,Aeropelican Air Services,PELICAN,AU
155,All Australia,,AU
156,Independent Air Freighters,INDEPENDENT,AU
157,Goldfields Air Services,,AU
158,Froggy Corporate Aviation,,AU
159,Challenge Aviation,CHALLENGE AVIATION,AU
160,Aviation Consultancy Office,,AU
161,Skywest Australia,,AU
162,Airservices Australia,AUSCAL,AU
163,Central Queensland Aviation College,,AU
164,Sabre Pacific,,AU
165,Compass Airlines (Australia),Compair,AU
166,Care Flight,CARE FLIGHT,AU
167,Royal Australian Air Force,AUSSIE,AU
168,Sunstate Airlines,SUNSTATE,AU
169,Sharp Airlines,SHARP,AU
170,North West Airlines,HALANT,AU
171,Australian Maritime Safety Authority,RESCUE,AU
172,Skywest Airlines,OZWEST,AU
173,V Australia Airlines,KANGA,AU
174,Rossair,,AU
175,Cape Air Transport,,AU
176,Sunshine Express Airlines,,AU
177,CHC Helicopters,HEMS,AU
178,Ansett Australia,ANSETT,AU
179,Aircruising Australia,CRUISER,AU
180,Aircrew Check and Training Australia,AIRCREW,AU
181,Link Airways of Australia,,AU
182,IPEC Aviation,IPEC,AU
183,Air Whitsunday,,AU
184,Qantas,QANTAS,AU
185,Air Queensland,BUSHAIR,AU
186,Virgin Australia,VIRGIN,AU
187,National Jet Systems,NATIONAL JET,AU
188,Virgin Blue,BLUEY,AU
189,Horizon Airlines,,AU
190,Qwestair,,AU
191,Flying kangaroo Airline,Skippy,AU
192,Strategic Airlines,,AU
193,Northwest Regional Airlines,,AU
194,Lincoln Airlines,,AU
195,BAE Systems Flight Training,,AU
196,Hazelton Airlines,HAZELTON,AU
197,Heavylift Cargo Airlines,HEAVY CARGO,AU
198,East-West Airlines,EASTWEST,AU
199,Henebury Aviation,,AU
200,MacKnight Airlines,,AU
201,Regional Express,REX,AU
202,Eastland Air,,AU
203,National Jet Express,JETEX,AU
204,Whyalla Airlines,,AU
205,Macair Airlines,,AU
206,Airnorth,TOPEND,AU
207,Charter Air,CHARTER WIEN,AT
208,Aero Charter Krifka,KRIFKA AIR,AT
209,Flugwerkzeuge Aviation Software,,AT
210,Comtel Air,,AT
211,ConneX European Airline,ConneX,AT
212,Mali Air,MALI AIREXPRESS,AT
213,Grossmann Air Service,GROSSMANN,AT
214,Salzburg arrows,SZA,AT
215,Tyrolean Airways,TYROLEAN,AT
216,MAP-Management and Planung,MAPJET,AT
217,Robin Hood Aviation,Sherwood,AT
218,Rheintalflug,Rheintal,AT
219,Avia Consult Flugbetriebs,AVIACONSULT,AT
220,ABC Bedarsflug,FLY TYROL,AT
221,Goldeck-Flug,GOLDECK FLUG,AT
222,VIF Luftahrt,VIENNA FLIGHT,AT
223,Christophorus Flugrettungsverein,CHRISTOPHORUS,AT
224,IJM International Jet Management,JET MANAGEMENT,AT
225,Tyrol Air Ambulance,TYROL AMBULANCE,AT
