code,local_code,name,iso_country
AE-AZ,AZ,Abu Dhabi Emirate,AE
AE-DU,DU,Dubai Emirate,AE
AE-SH,SH,Sharjah Emirate,AE
AL-11,11,Tirana County,AL
AM-ER,ER,Yerevan (capital district),AM
AR-B,B,Buenos Aires Province,AR
AT-9,9,Vienna,AT
AU-ACT,ACT,Australian Capital Territory,AU
AU-NSW,NSW,New South Wales,AU
AU-QLD,QLD,Queensland,AU
AU-SA,SA,South Australia,AU
AU-VIC,VIC,Victoria,AU
AU-WA,WA,Western Australia,AU
AZ-BA,BA,Baki,AZ
BA-BIH,BIH,Federacija Bosna i Hercegovina,BA
BE-BRU,BRU,Brussels-Capital Region,BE
BE-WHT,WHT,Hainaut,BE
BE-WLG,WLG,Liège,BE
BG-02,02,Burgas Province,BG
BG-03,03,Varna Province,BG
BG-23,23,Sofia Province,BG
BH-15,15,Muharraq Governorate,BH
BN-BM,BM,Brunei-Muara District,BN
BR-BA,BA,Bahia,BR
BR-DF,DF,Distrito Federal,BR
BR-MG,MG,Minas Gerais,BR
BR-PA,PA,Pará,BR
BR-PR,PR,Paraná,BR
BR-RJ,RJ,Rio de Janeiro,BR
BR-RN,RN,Rio Grande do Norte,BR
BR-SC,SC,Santa Catarina,BR
BR-SP,SP,São Paulo,BR
BS-NP,NP,New Providence,BS
DE-SN,SN,Saxony,DE
BY-MI,MI,Minsk Voblast,BY
BZ-BZ,BZ,Belize District,BZ
CA-AB,AB,Alberta,CA
CA-BC,BC,British Columbia,CA
CA-MB,MB,Manitoba,CA
CA-NL,NL,Newfoundland and Labrador,CA
CA-NS,NS,Nova Scotia,CA
CA-ON,ON,Ontario,CA
CA-QC,QC,Quebec,CA
CH-GE,GE,Canton of Geneva,CH
CH-ZH,ZH,Canton of Zurich,CH
CK-U-A,U-A,(unassigned),CK
CL-RM,RM,Santiago Metropolitan Region,CL
CN-11,11,Beijing Municipality,CN
CN-12,12,Tianjin Municipality,CN
CN-14,14,Shanxi Province,CN
CN-15,15,Inner Mongolia Autonomous Region,CN
CN-21,21,Liaoning Province,CN
CN-23,23,Heilongjiang Province,CN
CN-31,31,Shanghai Municipality,CN
CN-32,32,Jiangsu Province,CN
CN-33,33,Zhejiang Province,CN
CN-35,35,Fujian Province,CN
CN-37,37,Shandong Province,CN
CN-41,41,Henan Province,CN
CN-42,42,Hubei Province,CN
CN-43,43,Hunan Province,CN
CN-44,44,Guangdong Province,CN
CN-45,45,Guangxi Autonomous Region,CN
CN-46,46,Hainan Province,CN
CN-50,50,Chongqing Municipality,CN
CN-51,51,Sichuan Province,CN
CN-52,52,Guizhou Province,CN
CN-53,53,Yunnan Province,CN
CN-61,61,Shaanxi Province,CN
CN-65,65,Xinjiang Autonomous Region,CN
CO-CUN,CUN,Cundinamarca Department,CO
CR-G,G,Guanacaste,CR
CU-03,03,Ciudad de la Habana,CU
CU-04,04,Matanzas,CU
CY-04,04,Larnarca District,CY
CY-06,06,Paphos District,CY
CZ-PR,PR,Prague (capital city),CZ
DE-BE,BE,Berlin,DE
DE-BR,BR,Brandenburg,DE
DE-BW,BW,Baden-Württemberg,DE
DE-BY,BY,Bavaria,DE
DE-HB,HB,Bremen,DE
DE-HE,HE,Hesse,DE
DE-HH,HH,Hamburg,DE
DE-NI,NI,Lower Saxony,DE
DE-NW,NW,North Rhine-Westphalia,DE
DE-RP,RP,Rhineland-Palatinate,DE
DK-81,81,North Jutland,DK
DK-83,83,South Denmark,DK
DK-84,84,Capital Region,DK
DO-01,01,Distrito Nacional,DO
DO-11,11,La Altagracia Province,DO
DZ-35,35,Boumerdès Province,DZ
EC-P,P,Pichincha Province,EC
EC-X,X,Cotopaxi Province,EC
EE-37,37,Harju County,EE
EG-BA,BA,Red Sea Governorate,EG
EG-C,C,Cairo Governorate,EG
EG-KN,KN,Qena Governorate,EG
ES-AN,AN,Andalucía,ES
ES-CN,CN,Canary Islands,ES
ES-CT,CT,Catalonia,ES
ES-GA,GA,Galicia,ES
ES-M,M,Madrid,ES
ES-PM,PM,Baleares,ES
ES-V,V,Valencia,ES
ET-AA,AA,Addis Ababa,ET
FI-ES,ES,Southern Finland,FI
FR-A,A,Alsace,FR
FR-B,B,Aquitaine,FR
FR-J,J,Île-de-France,FR
FR-N,N,Midi-Pyrénées,FR
FR-U,U,Provence-Alpes-Côte-d'Azur,FR
FR-V,V,Rhône Alpes,FR
GB-ENG,ENG,England,GB
GB-NIR,NIR,Northern Ireland,GB
GB-SCT,SCT,Scotland,GB
GB-U-A,U-A,(unassigned),GB
GB-WLS,WLS,Wales,GB
GE-TB,TB,Tbilisi,GE
GH-AA,AA,Greater Accra Region,GH
GP-U-A,U-A,(unassigned),GP
GR-54,54,Thessaloniki,GR
GR-91,91,Irakleion,GR
GR-A1,A1,Attica,GR
GU-U-A,U-A,(unassigned),GU
HK-U-A,U-A,(unassigned),HK
HR-21,21,Zagreb (city),HR
HU-PE,PE,Pest,HU
ID-BA,BA,Bali,ID
ID-BT,BT,Banten,ID
ID-JI,JI,Jawa Timur,ID
ID-PB,PB,West Papua,ID
ID-SN,SN,Sulawesi Selatan,ID
ID-SU,SU,Sumatera Utara,ID
IE-C,C,County Cork,IE
IE-CE,CE,County Clare,IE
IE-D,D,County Dublin,IE
IL-D,D,Southern District,IL
IL-M,M,Central District,IL
IN-DL,DL,Delhi,IN
IN-GA,GA,Goa,IN
IN-KA,KA,Karnataka,IN
IN-KL,KL,Kerala,IN
IN-MM,MM,Maharashtra,IN
IN-PB,PB,Punjab,IN
IN-TG,TG,Telangana,IN
IN-TN,TN,Tamil Nadu,IN
IN-WB,WB,West Bengal,IN
IQ-BA,BA,Basra Governorate,IQ
IQ-BG,BG,Baghdad Governorate,IQ
IR-01,01,East Azarbaijan Province,IR
IR-07,07,Tehran Province,IR
IR-14,14,Fars Province,IR
IR-30,30,Razavi Khorasan Province,IR
IS-2,2,Southern Peninsula,IS
IT-21,21,Piedmont,IT
IT-25,25,Lombardy,IT
IT-34,34,Veneto,IT
