id,source,destination,airline_id
59051,LEPA,EGFF,491
12570,LFPG,LTBJ,709
17601,LICC,LIRN,5400
16113,GMMN,OMAA,2802
22636,EIDW,LEMG,1824
16670,VOCI,VOTV,1704
10058,EGGD,LTFE,5400
65981,OPST,OMDB,4298
71892,LIPH,EDDW,1825
3317,ESSA,VTBS,3014
4049,KATL,LIRF,1886
39402,WMKK,RJAA,1992
19081,KDCA,KBUF,5638
11622,HECA,LCLK,1218
34622,TR-0043,LTBJ,4117
21157,UUDD,EDDM,1431
22117,KDSM,KDTW,5243
43295,SPIM,EHAM,1886
17432,ZGHA,ZSHC,909
45859,EGCC,GCLP,4365
49883,MMMY,KORD,5397
65426,KSJC,MMGL,2671
33311,KIAH,MMSD,5397
62947,LTFJ,LSZH,3277
565,LTAF,LTBJ,1227
13196,LFPG,EDDH,1886
23147,OMDB,KIAD,4298
38999,HSSS,QA-0001,3840
46708,OOMS,QA-0001,5243
57682,KPHL,KBOS,5418
14497,ZHCC,ZSNJ,896
16109,GMMN,LIMF,2802
64012,KSFO,KMIA,5418
7940,VTBS,RJTT,4075
9545,KBOS,KPDX,5638
54011,KOAK,KCMH,5536
57910,KPHL,KATL,2884
10414,EBBR,DAAG,13
4937,OMAA,OPRN,2884
2663,EHAM,LSGG,2884
65679,TJSJ,KATL,1360
73620,LIPZ,EGLL,5638
19597,VIDP,VABB,1715
53494,RJAA,RKSI,1953
24587,KEWR,KMDW,5099
53201,RJAA,RCKH,4025
57387,LCPH,EGNT,1287
67104,EGSS,LFLL,5400
26927,EDDF,CYYC,561
66462,LBSF,LEBL,440
32970,KIAD,KMSY,1431
47377,KMEM,KHOU,5099
20131,KDFW,KEWR,5418
22219,KDTW,KDEN,5243
43404,LIML,EGLL,2154
38570,ZPPP,ZSSS,886
19675,KDEN,KLIT,5053
64922,WSSS,UUDD,3522
27091,EDDF,FAOR,1533
72010,ZBTJ,ZSNB,4562
70882,ZSJN,ZSWZ,933
10720,LFSB,GCLP,5400
62317,OERK,VOMM,3459
58261,KPHX,KMSP,5032
64361,ZSSS,RJTT,1953
4844,OMAA,EDDF,1431
54747,KORD,KSDF,5638
30098,VVNB,ZSPD,896
22265,KDTW,KMCO,5154
68567,YSSY,KSFO,5397
26784,EDDF,KORD,5397
12424,VECC,WSSS,3522
19727,KDEN,KMKE,5397
2596,EHAM,EDDF,1533
54601,LPPR,EHBK,1825
40767,KLAX,KPHX,5638
14565,ZHCC,ZSWZ,909
10045,EGGD,LEPA,4410
67139,EGSS,LZIB,1825
11749,HECA,EKCH,3910
34993,TR-0043,LEMG,4138
10915,LZIB,LKPR,2107
29876,EDDH,LFSB,1431
55701,ENGM,EPGD,3014
38103,RJBB,RKPK,4791
707,LTBJ,EKCH,4131
27727,MMGL,MMSD,2671
7578,LTFE,EGSS,5400
66324,KSNA,KEWR,5397
76714,CYHZ,CYYT,639
2281,OJAI,LEMD,3704
59225,VDPP,VDSR,479
12672,LFPG,LJLJ,1360
71702,VOTV,VABB,1703
24554,KEWR,LPPT,5418
35000,TR-0043,CYYZ,561
43322,SPIM,KMIA,5638
23808,EGPH,EDDF,1533
48935,RPLL,VVTS,3105
35711,KJFK,KLAS,5243
35934,KJFK,EDDF,1533
15640,KCLT,KLIT,5638
20198,KDFW,EDDF,3704
52203,LFMN,EDDK,1481
26226,ZSFZ,ZSJN,952
39480,WMKK,VYYY,3942
67371,EDDS,LTAC,3277
74650,EYVI,ESSA,3910
28472,ESGG,LFPG,1360
60775,ZSPD,ZGGG,911
4281,KATL,KPWM,5243
29744,ZJHK,ZBTJ,933
17231,EBCI,LEAL,1825
70433,EETN,EDDF,1533
74219,LOWW,LLBG,1851
35337,KJAX,KLGA,5243
71644,LIMF,LSZH,3993
3333,ESSA,LQSA,3014
44525,EGGW,LTBS,491
7829,VTBS,RJAA,1992
63833,KSFB,KMLI,5610
67428,EDDS,LTAI,1426
12784,LFPG,EGPH,1360
22572,EIDW,EGBB,1825
19059,KDCA,KVPS,5638
47801,OIMM,OEDF,1792
37639,RCKH,VVNB,4020
9617,KBOS,KJAX,5243
4364,KATL,KSRQ,1360
36013,KJFK,KATL,5243
2099,DAAG,HECA,1145
10819,LFSB,EKCH,5400
74382,UUWW,ULLI,3370
76058,ZSAM,WSSS,929
75911,ZLXY,ZGKL,909
53803,EDDN,LFPG,1886
6993,LIME,LTFJ,3277
53350,RJAA,WSSS,1992
63005,LTFJ,EKCH,4117
2370,OJAI,HLLT,2000
63500,MDSD,SBGR,398
42046,EGKK,LPPT,3173
50415,EDDM,SBGR,1431
46146,EGCC,KJFK,3071
9476,KBOS,EIDW,5397
2512,EHAM,EDDL,1886
78452,LDZA,LSZH,3958
12230,VOCL,OEDF,1710
18939,KDAY,KDEN,5397
11336,KBWI,KCLE,5536
16215,GMMN,LFPG,1360
40766,KLAX,KPHX,5243
13580,LFPG,KJFK,1360
74604,EYVI,LKPR,1408
21308,UUDD,LEAL,3370
10578,SBBR,SBGL,398
24570,KEWR,EDDL,1533
78130,CYYZ,EPWA,561
8990,SKBO,KMCO,5418
54571,LPPR,LFML,1825
15528,KCLE,KATL,5243
30984,ZSHC,ZBAA,929
47551,MMMX,SBGR,408
2496,EHAM,GCLP,2869
42731,EGLL,MMMX,3704
