code,local_code,name,iso_country
AD-02,02,Canillo,AD
AD-03,03,Encamp,AD
AD-04,04,La Massana,AD
AD-05,05,Ordino,AD
AD-06,06,Sant Julià de Lòria,AD
AD-07,07,Andorra la Vella,AD
AD-08,08,Escaldes-Engordany,AD
AD-U-A,U-A,(unassigned),AD
AE-AJ,AJ,Ajman Emirate,AE
AE-AZ,AZ,Abu Dhabi Emirate,AE
AE-DU,DU,Dubai Emirate,AE
AE-FU,FU,Fujairah Emirate,AE
AE-RK,RK,Ras al-Khaimah Emirate,AE
AE-SH,SH,Sharjah Emirate,AE
AE-U-A,U-A,(unassigned),AE
AE-UQ,UQ,Umm al-Quwain Emirate,AE
AF-BAL,BAL,Balkh Province,AF
AF-BAM,BAM,Bamiyan Province,AF
AF-BDG,BDG,Badghis Province,AF
AF-BDS,BDS,Badakhshan Province,AF
AF-BGL,BGL,Baghlan Province,AF
AF-DAY,DAY,Daykundi Province,AF
AF-FRA,FRA,Farah Province,AF
AF-FYB,FYB,Faryab Province,AF
AF-GHA,GHA,Ghazni Province,AF
AF-GHO,GHO,Ghōr Province,AF
AF-HEL,HEL,Helmand Province,AF
AF-HER,HER,Herat Province,AF
AF-JOW,JOW,Jowzjan Province,AF
AF-KAB,KAB,Kabul Province,AF
AF-KAN,KAN,Kandahar Province,AF
AF-KAP,KAP,Kapisa Province,AF
AF-KDZ,KDZ,Kunduz Province,AF
AF-KHO,KHO,Khost Province,AF
AF-KNR,KNR,Kunar Province,AF
AF-LAG,LAG,Laghman Province,AF
AF-LOW,LOW,Logar Province,AF
AF-NAN,NAN,Nangarhar Province,AF
AF-NIM,NIM,Nimruz Province,AF
AF-NUR,NUR,Nurestan Province,AF
AF-ORU,ORU,Orūzgān Province,AF
AF-PAN,PAN,Panjshir Province,AF
AF-PAR,PAR,Parwan Province,AF
AF-PIA,PIA,Paktia Province,AF
AF-PKA,PKA,Paktika Province,AF
AF-SAM,SAM,Samangan Province,AF
AF-SAR,SAR,Sar-e Pol Province,AF
AF-TAK,TAK,Takhar Province,AF
AF-U-A,U-A,(unassigned),AF
AF-WAR,WAR,Wardak Province,AF
AF-ZAB,ZAB,Zabul Province,AF
AG-03,03,Saint George,AG
AG-04,04,Saint John,AG
AG-05,05,Saint Mary,AG
AG-06,06,Saint Paul,AG
AG-07,07,Saint Peter,AG
AG-08,08,Saint Philip,AG
AG-10,09,Barbuda,AG
AG-U-A,U-A,(unassigned),AG
AI-U-A,U-A,(unassigned),AI
AL-01,01,Berat County,AL
AL-02,02,Durrës County,AL
AL-03,03,Elbasan County,AL
AL-04,04,Fier County,AL
AL-05,05,Gjirokastër County,AL
AL-06,06,Korçë County,AL
AL-07,07,Kukës County,AL
AL-08,08,Lezhë County,AL
AL-09,09,Dibër County,AL
AL-10,10,Shkodër County,AL
AL-11,11,Tirana County,AL
AL-12,12,Vlorë County,AL
AL-U-A,U-A,(unassigned),AL
BF-ZIR,ZIR,Ziro,BF
AM-AG,AG,Aragatsotn Province,AM
AM-AR,AR,Ararat Province,AM
AM-AV,AV,Armavir Province,AM
AM-ER,ER,Yerevan (capital district),AM
AM-GR,GR,Gegharkunik Province,AM
AM-KT,KT,Kotayk Province,AM
AM-LO,LO,Lori Province,AM
AM-SH,SH,Shirak Province,AM
