id,source,destination,airline_id
1,DABB,DAAG,13
2,DABB,LFPG,13
3,DABB,LFLL,13
4,DABB,CDG,13
5,DABB,LFML,13
6,DABB,LFML,1311
7,DABB,DAOO,13
8,DABB,LFPO,13
9,DABB,LFPO,1311
10,DABB,TR-0043,13
11,EKYT,EGKK,3014
12,EKYT,LEBL,3783
13,EKYT,LEBL,4026
14,EKYT,EHAM,1886
15,EKYT,ESSA,3910
16,EKYT,LEBL,3704
17,EKYT,ENGM,411
18,EKYT,ENGM,1048
19,EKYT,ENGM,2242
20,EKYT,ENGM,3910
21,EKYT,ENGM,4485
22,EKYT,LEMG,3014
23,EKYT,LEPA,3014
24,EKYT,LEAL,3014
25,EKYT,EKBI,1062
26,EKYT,EKBI,3910
27,EKYT,EKBI,4138
28,EKYT,EKAH,4485
29,EKYT,EHAM,2884
30,EKYT,EKCH,3910
31,EKYT,EKCH,3014
32,EKYT,TR-0043,4138
33,EKYT,ENZV,1062
34,OMAL,VOCL,1710
35,OMAL,OPPS,3064
36,URKA,ULLI,3212
37,URKA,UUDD,3346
38,URKA,UUEE,3212
39,EKAH,EGSS,1825
40,EKAH,EKYT,4485
41,EKAH,ESGG,4485
42,EKAH,ENGM,4485
43,EKAH,LEPA,1825
44,EKAH,ESSB,4485
45,EKAH,EKCH,3910
46,EKAH,LEMG,1825
47,CN-0113,ZWWW,4562
48,CN-0113,ZWWW,4995
49,CN-0113,ZWWW,909
50,SBAX,SNPD,419
51,SBAX,SNPD,1749
52,OYGD,OYSN,145
53,UNAA,UUDD,3346
54,UNAA,UOOO,3404
55,UNAA,UIII,4611
56,UNAA,UUEE,3212
57,DNAS,DNMM,2991
58,DNAS,DNMM,5653
59,DNAS,DNAA,2991
60,DNAS,DNAA,5653
61,OIAA,OIMM,1792
62,OIAA,OIMM,284
63,OIAA,OIII,1795
64,OIAA,OIII,1792
65,OIAA,OIII,284
66,OIAA,OISS,1795
67,KABE,KDTW,5243
68,KABE,KMYR,5610
69,KABE,KORD,5397
70,KABE,KATL,1360
71,KABE,KATL,2884
72,KABE,KPGD,5610
73,KABE,KPHL,5638
74,KABE,PHL,5638
75,KABE,KPHL,5418
76,KABE,PHL,5418
77,KABE,KPIE,5610
78,KABE,KCLT,5418
79,KABE,KCLT,5638
80,KABE,KSFB,5610
81,KABE,KATL,5243
82,KABI,KDFW,5418
83,KABI,KDFW,5638
84,DIAP,DGAA,2165
